interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term,variant,scenario_id
Dysinger_East,475.879075627629,542.193272731521,1129.78600995184,-66.3141971038924,1399.91077525026,fixed_interface_scale,0.00224394557296929,before,S1_2019_SUMMER_PEAK_PUBLIC
West_Central,32.8203695786965,123.69184166733,3586.26359158997,-90.8714720886335,4478.94684851229,fixed_interface_scale,0.000411626484185909,before,S1_2019_SUMMER_PEAK_PUBLIC
Moses_South,739.109970699034,785.459513718801,1129.78600995184,-46.3495430197668,1280.05315879757,fixed_interface_scale,0.00131109723618997,before,S1_2019_SUMMER_PEAK_PUBLIC
Central_East,768.562715746391,871.897110035751,1025.77396459119,-103.33439428936,1288.73627827504,fixed_interface_scale,0.00642927034545318,before,S1_2019_SUMMER_PEAK_PUBLIC
Total_East_proxy,1343.32456684787,1577.70133011957,2438.90313259444,-234.376763271702,3022.02961006405,fixed_interface_scale,0.00601494518933114,before,S1_2019_SUMMER_PEAK_PUBLIC
UPNY_ConEd,1149.60180089698,1288.9029196201,2044.37468467475,-139.301118723115,2533.17187902427,fixed_interface_scale,0.0030239868063728,before,S1_2019_SUMMER_PEAK_PUBLIC
Dunwoodie_South,819.739163462471,1066.37452850438,1560.18068040968,-246.635365041909,1988.32171313462,fixed_interface_scale,0.0153864131601247,before,S1_2019_SUMMER_PEAK_PUBLIC
Dysinger_East,484.471942493992,984.279858700553,1388.81219228332,-499.807916206561,1399.91077525026,fixed_interface_scale,0.127469284515298,before,S2_2019_WINTER_PEAK_PUBLIC
West_Central,73.2870959741743,575.686902803206,4408.48670179076,-502.399806829032,4478.94684851229,fixed_interface_scale,0.0125819255212735,before,S2_2019_WINTER_PEAK_PUBLIC
Moses_South,384.724858288147,422.313538571587,1388.81219228332,-37.5886802834402,1280.05315879757,fixed_interface_scale,0.000862299521283795,before,S2_2019_WINTER_PEAK_PUBLIC
Central_East,1142.56213395284,1229.32364547806,1287.40685760866,-86.7615115252211,1288.73627827504,fixed_interface_scale,0.00453237787277009,before,S2_2019_WINTER_PEAK_PUBLIC
Total_East_proxy,1956.37169940967,2283.25133338972,2998.07076429415,-326.879633980048,3022.02961006405,fixed_interface_scale,0.0116997961636061,before,S2_2019_WINTER_PEAK_PUBLIC
UPNY_ConEd,1160.91970714215,1226.26825865504,2513.08872889362,-65.3485515128905,2533.17187902427,fixed_interface_scale,0.000665491656294392,before,S2_2019_WINTER_PEAK_PUBLIC
Dunwoodie_South,946.408224061176,1171.71218860007,2028.1066934931,-225.303964538894,1988.32171313462,fixed_interface_scale,0.0128399802956936,before,S2_2019_WINTER_PEAK_PUBLIC
Dysinger_East,824.734646067912,882.524160943875,2873.5423823669,-57.7895148759631,1399.91077525026,fixed_interface_scale,0.00170410905734915,before,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
West_Central,385.406897095304,733.300648909723,9121.44453374177,-347.893751814419,4478.94684851229,fixed_interface_scale,0.0060331127303681,before,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
Moses_South,679.928688624718,761.406630116302,2873.5423823669,-81.4779414915837,1280.05315879757,fixed_interface_scale,0.00405157688797019,before,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
Central_East,1536.25380679801,1724.74574968046,2002.35731088741,-188.49194288245,1288.73627827504,fixed_interface_scale,0.0213922996610385,before,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
Total_East_proxy,2350.5953844743,3239.14819697166,6203.20260320473,-888.552812497361,3022.02961006405,fixed_interface_scale,0.0864508088933337,before,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
UPNY_ConEd,1275.47349362133,1214.8516180538,5199.74335856867,60.6218755675281,2533.17187902427,fixed_interface_scale,0.000572702951210992,before,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
